Platform,Network,Program,FEP Starts
MOBILE,CNBC,squawk box,0
MOBILE,CNBC,squawk box europe,0
MOBILE,CNBC,squawk box u.s.,0
MOBILE,CNBC,Squawk On The Sreet,0
MOBILE,CNBC,squawk on the street,67
MOBILE,CNBC,Squwak Box,0
MOBILE,CNBC,stanley cup playoff,0
MOBILE,CNBC,stocks,0
MOBILE,CNBC,straight talk,0
MOBILE,CNBC,strange success,0
MOBILE,CNBC,street signs,0
MOBILE,CNBC,street signs asia,0
MOBILE,CNBC,street signs europe,0
MOBILE,CNBC,Sudden Death; Hip Hop Hustle,0
MOBILE,CNBC,"summer's blending machine, ninja!",0
MOBILE,CNBC,Super Rich Mega-Mansion & a Luxury Survival Silo,0
MOBILE,CNBC,sustainable energy,0
MOBILE,CNBC,t25 sexy bodies!,0
MOBILE,CNBC,Talking Numbers,0
MOBILE,CNBC,taxes,0
MOBILE,CNBC,Taylormade Golf Company,0
MOBILE,CNBC,tech transformers,0
MOBILE,CNBC,Technology,0
MOBILE,CNBC,The $25K Hotel Suite; A Lambo Worth Millions,0
MOBILE,CNBC,The BCBG Mansion & A Handmade Super Car,0
MOBILE,CNBC,The Black Widows,0
MOBILE,CNBC,The Blonde Billionaire; Underwater Jets,0
MOBILE,CNBC,The Body Snatcher,0
MOBILE,CNBC,the bottom line,0
MOBILE,CNBC,the car chasers,0
MOBILE,CNBC,The Car Con,0
MOBILE,CNBC,the cnbc conversation,0
MOBILE,CNBC,the edge,0
MOBILE,CNBC,the etf trade,0
MOBILE,CNBC,the fed,0
MOBILE,CNBC,the filthy rich guide,208
MOBILE,CNBC,The Filthy Rich Guide to Supercars and Private Jets,0
MOBILE,CNBC,The Hacking Economy,0
MOBILE,CNBC,The King of Yachts & Billionaire Heiress,0
MOBILE,CNBC,The Kudlow Report,0
MOBILE,CNBC,The Lawyer Lies; Black Gold Bust,0
MOBILE,CNBC,"The Mustang Ranch: Money, Women and Murder",0
MOBILE,CNBC,The Nirvana Mansion and VIP Dog Hotel,0
MOBILE,CNBC,The Playboy of Indiana,0
MOBILE,CNBC,the profit,1361
MOBILE,CNBC,the pulse,0
MOBILE,CNBC,The Real Wolf of Wall Street,0
MOBILE,CNBC,the rundown,0
MOBILE,CNBC,The Sexiest Home Video & A Mega Yacht for Swingers,0
MOBILE,CNBC,The Spy Who Scammed Me,0
MOBILE,CNBC,The Surfer Slayer?,0
MOBILE,CNBC,the suze orman show,0
MOBILE,CNBC,the weekly,0
MOBILE,CNBC,"These Aren't Babies, This Is Merchandise",0
MOBILE,CNBC,Through the Roof,0
MOBILE,CNBC,to be announced,0
MOBILE,CNBC,tourism,0
MOBILE,CNBC,trading nation,0
MOBILE,CNBC,Trash to Cash,0
MOBILE,CNBC,travel,0
MOBILE,CNBC,Treasure Hunting; Inside a Ferrari Vault,0
MOBILE,CNBC,try total gym for $14.95,0
MOBILE,CNBC,tutorial,0
MOBILE,CNBC,Twin Peaks,0
MOBILE,CNBC,"Two Brothers, Two Murders",0
MOBILE,CNBC,u.s. markets,0
MOBILE,CNBC,Unbeweavable,0
MOBILE,CNBC,undercover boss,116
MOBILE,CNBC,Undercover Boss: Busted!,0
MOBILE,CNBC,Union Bu$ter,0
MOBILE,CNBC,US Economy,0
MOBILE,CNBC,us: news,0
MOBILE,CNBC,Utah Jazz,0
MOBILE,CNBC,Vanity and Greed: Deadly Beauty,0
MOBILE,CNBC,video and tv,0
MOBILE,CNBC,Waste Management,0
MOBILE,CNBC,Wealth,0
MOBILE,CNBC,west texas investors club,130
MOBILE,CNBC,white house,0
MOBILE,CNBC,women and cancer,0
MOBILE,CNBC,world economy,0
MOBILE,CNBC,world news,0
MOBILE,CNBC,worlds biggest risks,0
MOBILE,CNBC,worldwide exchange,0
MOBILE,CNBC,Yankee Candle,0
MOBILE,CNBC,Young Money,0
MOBILE,CNBC,your money your future,0
MOBILE,E!,,0
MOBILE,E!,#RichKids of Beverly Hills,24295
MOBILE,E!,21 day fix,0
MOBILE,E!,5 makeup tips 4 older women!,0
MOBILE,E!,a cinderella story,0
MOBILE,E!,all about steve,0
MOBILE,E!,Best Pan Ever!,0
MOBILE,E!,body beast!,0
MOBILE,E!,botched,0
MOBILE,E!,bridesmaids,0
MOBILE,E!,burlesque,0
MOBILE,E!,cheaper by the dozen,0
MOBILE,E!,cheaper by the dozen 2,0
MOBILE,E!,CHRISLEY KNOWS BEST,0
MOBILE,E!,cize dance workout!,0
MOBILE,E!,copper chef,0
MOBILE,E!,Derm Exclusive!,0
MOBILE,E!,don't be tardy for the wedding,0
MOBILE,E!,drop your cize!,0
MOBILE,E!,e! live,0
MOBILE,E!,e! live from the red carpet,0
MOBILE,E!,e! news,0
MOBILE,E!,enchanted,0
MOBILE,E!,facelift in minutes at home,0
MOBILE,E!,fashion police,524
MOBILE,E!,green tea,0
MOBILE,E!,he's just not that into you,0
MOBILE,E!,hollywood medium with tyler henry,23482
MOBILE,E!,"houston, we have a problem",0
MOBILE,E!,how do i look?,0
MOBILE,E!,I Am Cait,54358
MOBILE,E!,identity theft: learn about it and how to get lifelock protection,0
MOBILE,E!,INCOME FOR LIFE!,0
MOBILE,E!,Jane Seymour's Secret to Youthful-looking skin,0
MOBILE,E!,"jillian michaels bodyshred: get a strong, sexy and shredded body",0
MOBILE,E!,Just Jillian,5749
MOBILE,E!,keeping up with the kardashians,0
MOBILE,E!,khloe & lamar,0
MOBILE,E!,kourtney and khloe take miami,0
MOBILE,E!,kourtney and kim take miami,0
MOBILE,E!,kourtney and kim take new york,0
MOBILE,E!,l.a. clippers dance squad,0
MOBILE,E!,la clippers dance squad,50041
MOBILE,E!,miss congeniality,0
MOBILE,E!,modern living with kathy ireland,0
MOBILE,E!,new! get cindy crawford's anti-aging discovery,0
MOBILE,E!,"ninja coffee bar with sofia vergara - classic brew, rich brew, over ice brew, specialty & frozen blended brew",0
MOBILE,E!,No more wrinkles! Say ByeBye now and look younger!,0
MOBILE,E!,no title,4
MOBILE,E!,"nutri ninja blender duo &#150; summer's total crushing blender for healthier living, made easy. two machines in one!",0
MOBILE,E!,oz the great and powerful,0
MOBILE,E!,paid programming,0
MOBILE,E!,runaway bride,0
MOBILE,E!,safe haven,0
MOBILE,E!,sex and the city,0
MOBILE,E!,Spot Free Skin,0
MOBILE,E!,the bling ring,0
MOBILE,E!,"the dominican republic, part one",0
MOBILE,E!,the last song,0
MOBILE,E!,the man in the memoir,0
MOBILE,E!,The People's Couch,0
MOBILE,E!,the price you pay,0
MOBILE,E!,the real o.j. simpson trial,0
MOBILE,E!,the royals,0
MOBILE,E!,to be announced,0
MOBILE,E!,Total Divas,56674
MOBILE,E!,true hollywood story,0
MOBILE,E!,try total gym for $14.95,0
MOBILE,E!,wen by chaz dean revolutionary hair care system,0
MOBILE,E!,wild things,0
MOBILE,E!,winning the wrinkle war with dr.denese skinscience,0
MOBILE,Esquire,,0
MOBILE,Esquire,21,0
MOBILE,Esquire,3 Days to Kill,0
MOBILE,Esquire,air force one,0
MOBILE,Esquire,all the right moves,0
MOBILE,Esquire,american ninja warrior,1733
MOBILE,Esquire,American Ninja Warrior Testing a Super Long Title to See if iPad is misaligned when truncating blah blah blah blah blah,0
MOBILE,Esquire,arthritis pain?,0
MOBILE,Esquire,beowulf,3135
MOBILE,Esquire,beowulf: return to the shieldlands,0
MOBILE,Esquire,best bars in america,0
MOBILE,Esquire,best blower ever!,0
MOBILE,Esquire,best portable charger!,0
MOBILE,Esquire,bomb patrol: afghanistan,0
MOBILE,Esquire,boundless,1196
MOBILE,Esquire,Brew Dogs,0
MOBILE,Esquire,Burn Notice,0
MOBILE,Esquire,car matchmaker,233
MOBILE,Esquire,cize dance workout!,0
MOBILE,Esquire,clean up this fall with shark lift away. 3 vacuums in one. breakthrough vacuum design!,0
MOBILE,Esquire,csi: crime scene investigation,0
MOBILE,Esquire,dr. ho relieves muscle pain,0
MOBILE,Esquire,esquire live,0
MOBILE,Esquire,Esquire's Car of the Year,0
MOBILE,Esquire,esquire‰Ûªs car of the year,54
MOBILE,Esquire,faster,0
MOBILE,Esquire,friday night tykes,3629
MOBILE,Esquire,Friday Night Tykes: Steel Country,10898
MOBILE,Esquire,Going Deep with David Rees,59
MOBILE,Esquire,good sex vs. great sex!,0
MOBILE,Esquire,green tea,0
MOBILE,Esquire,half baked,0
MOBILE,Esquire,House,0
MOBILE,Esquire,identity theft: learn about it and how to get lifelock protection,0
MOBILE,Esquire,Knife Fight,319
MOBILE,Esquire,landscaping secrets,0
MOBILE,Esquire,Larry King Special Report,0
MOBILE,Esquire,"look younger than ever: it's science, not magic",0
MOBILE,Esquire,macgyver,0
MOBILE,Esquire,man on fire,0
MOBILE,Esquire,money faqs,0
MOBILE,Esquire,My Deal With The Devil,7
MOBILE,Esquire,NCIS: LOS ANGELES,0
MOBILE,Esquire,never get a computer virus,0
MOBILE,Esquire,ninja assassin,0
MOBILE,Esquire,no title,6
MOBILE,Esquire,paid programming,0
MOBILE,Esquire,parks and recreation,0
MOBILE,Esquire,perfect cooker,0
MOBILE,Esquire,recovery,0
MOBILE,Esquire,Running of the Bulls,4
MOBILE,Esquire,semi-pro,0
MOBILE,Esquire,Team Ninja Warrior,1188
MOBILE,Esquire,The Agent,198
MOBILE,Esquire,the bourne identity,0
MOBILE,Esquire,the bourne supremacy,0
MOBILE,Esquire,the mechanic,0
MOBILE,Esquire,The Next Great Burger,30
MOBILE,Esquire,the real o.j. simpson trial,2030
MOBILE,Esquire,The Runner-Up,0
MOBILE,Esquire,the short game,0
MOBILE,Esquire,timecop,0
MOBILE,Esquire,tin cup,0
MOBILE,Esquire,try total gym for $14.95,0
MOBILE,Esquire,Uncorked,199
MOBILE,Esquire,under pressure cooking,0
MOBILE,Esquire,wild things,0
MOBILE,msnbc,,0
MOBILE,msnbc,a view from the crew,0
MOBILE,msnbc,all in with chris hayes,8993
MOBILE,msnbc,andrea mitchell reports,0
MOBILE,msnbc,Caught on Camera,530
MOBILE,msnbc,citizen trump with chris matthews,0
MOBILE,msnbc,clinton town hall,0
MOBILE,msnbc,first look,0
MOBILE,msnbc,Hardball with Chris Matthews,14101
MOBILE,msnbc,hillary clinton: it takes a country,0
MOBILE,msnbc,isis and the internet,0
MOBILE,msnbc,kasich town hall,0
MOBILE,msnbc,lockup,1704
MOBILE,msnbc,lockup charleston: extended stay,0
MOBILE,msnbc,lockup fairfax: extended stay,0
MOBILE,msnbc,lockup grand rapids: extended stay,0
MOBILE,msnbc,lockup new jersey---extended stay,0
MOBILE,msnbc,lockup tulsa: extended stay,0
MOBILE,msnbc,lockup: cleveland - extended stay,0
MOBILE,msnbc,lockup: louisville - extended stay,0
MOBILE,msnbc,lockup: new mexico---extended stay,0
MOBILE,msnbc,lockup: oakland - extended stay,0
MOBILE,msnbc,lockup: raw,0
MOBILE,msnbc,lockup: san antonio - extended stay,0
MOBILE,msnbc,lockup: santa rosa - extended stay,0
MOBILE,msnbc,Meet the Press,0
MOBILE,msnbc,morning joe,21205
MOBILE,msnbc,msnbc live,0
MOBILE,msnbc,msnbc live with jos&#233; d&#237;az-balart,0
MOBILE,msnbc,msnbc live with josÌ© dÌ_az-balart,0
MOBILE,msnbc,msnbc live with kate snow,0
MOBILE,msnbc,msnbc live with tamron hall,0
MOBILE,msnbc,msnbc live with thomas roberts,0
MOBILE,msnbc,msnbc special,0
MOBILE,msnbc,msnbc special coverage: white house correspondents' association dinner,0
MOBILE,msnbc,msnbc specials,87
MOBILE,msnbc,mtp daily,85
MOBILE,msnbc,no title,5
MOBILE,msnbc,occupational hazard,0
MOBILE,msnbc,PoliticsNation,397
MOBILE,msnbc,politicsnation with al sharpton,0
MOBILE,msnbc,sanders town hall,0
MOBILE,msnbc,the hamptons,0
MOBILE,msnbc,The Last Word with Lawrence O'Donnell,5794
MOBILE,msnbc,the place for politics,68
MOBILE,msnbc,the place for politics 2016,0
MOBILE,msnbc,the rachel maddow show,34061
MOBILE,msnbc,trump town hall,0
MOBILE,msnbc,Up with Steve Kornacki,0
MOBILE,msnbc,way too early,0
MOBILE,msnbc,with all due respect,0
MOBILE,msnbc,x'd out,0
MOBILE,msnbc,"you vote, they decide: the secret campaigns for president",0
MOBILE,msnbc,your business,0
MOBILE,mun2,,0
MOBILE,NBC,,0
MOBILE,NBC,1st Look,0
MOBILE,NBC,1st Look: 100 Days to Rio,0
MOBILE,NBC,2016: California Senate Debate,0
MOBILE,NBC,21 day fix,0
MOBILE,NBC,5 Talk Street,0
MOBILE,NBC,6 in the Mix,0
MOBILE,NBC,AAA Benefits and Savings,0
MOBILE,NBC,Access Hollywood,0
MOBILE,NBC,Access Hollywood Live,0
MOBILE,NBC,Alibi,0
MOBILE,NBC,Amazing Cooking with Chef Daniel Green,0
MOBILE,NBC,Amazing Stories,2099
MOBILE,NBC,Angel of Death,0
MOBILE,NBC,Aquarius,2530
MOBILE,NBC,Asian Pacific America with Robert Handa,0
MOBILE,NBC,Astroblast,0
MOBILE,NBC,Asunder,0
MOBILE,NBC,Babes,0
MOBILE,NBC,back2life &#150; your 12 minute back pain solution! free shipping!,0
MOBILE,NBC,Baggage,0
MOBILE,NBC,Ballerina,0
MOBILE,NBC,barclays premier league soccer,0
MOBILE,NBC,Battlestar Galactica Classic,1981
MOBILE,NBC,Bay Area Revelations: A Passion to Preserve,0
MOBILE,NBC,Beach Volleyball,0
MOBILE,NBC,Beast's Obsession,0
MOBILE,NBC,Best Pan Ever!,0
MOBILE,NBC,Best Time Ever with Neil Patrick Harris,0
MOBILE,NBC,Best Wheelbarrow Ever!,0
MOBILE,NBC,Better Angels,0
MOBILE,NBC,Bitten,0
MOBILE,NBC,Blindspot,447847
MOBILE,NBC,body beast!,0
MOBILE,NBC,Boxed In,0
MOBILE,NBC,breaking news,0
MOBILE,NBC,Brothers in Arms,0
MOBILE,NBC,Burn Notice,18
MOBILE,NBC,Bury Your Dead,0
MOBILE,NBC,Bye Bye Foundation,0
MOBILE,NBC,Cars.TV,0
MOBILE,NBC,Caught on Camera,13059
MOBILE,NBC,Caught on Camera with Nick Cannon,0
MOBILE,NBC,Charles in Charge,4924
MOBILE,NBC,Chicago Fire,312659
MOBILE,NBC,Chicago Med,300159
MOBILE,NBC,Chicago P.D.,177046
MOBILE,NBC,CHRISLEY KNOWS BEST,258
MOBILE,NBC,cize dance workout!,0
MOBILE,NBC,cleaning addicts,0
MOBILE,NBC,Colony,60
MOBILE,NBC,Comedy.TV,0
MOBILE,NBC,Comic Perversion,0
MOBILE,NBC,Comunidad del Valle,0
MOBILE,NBC,Create a Clean Zone in Minutes!,0
MOBILE,NBC,Crossbones,1334
MOBILE,NBC,Crowded,154181
MOBILE,NBC,Crush,0
MOBILE,NBC,CSI,12
MOBILE,NBC,Dateline,343083
MOBILE,NBC,Dateline NBC,0
MOBILE,NBC,Dateline Saturday Night Mystery,125894
MOBILE,NBC,Days of our Lives,911382
MOBILE,NBC,Dead and Unburied,0
MOBILE,NBC,Deception,6506
MOBILE,NBC,Deep Impact,0
MOBILE,NBC,Derm Exclusive!,0
MOBILE,NBC,Do No Harm,31
MOBILE,NBC,Dog Competition,0
MOBILE,NBC,Donny!,42
MOBILE,NBC,Dracula,4180
MOBILE,NBC,Early Today,0
MOBILE,NBC,Extra,0
MOBILE,NBC,Face Off,4
MOBILE,NBC,Family Secret,0
MOBILE,NBC,fast five,0
MOBILE,NBC,fight hair loss,0
MOBILE,NBC,Figure Skating,0
MOBILE,NBC,Fish Oil Benefits Examined,0
MOBILE,NBC,floogals,0
MOBILE,NBC,Food Fighters,0
MOBILE,NBC,Fortunes in Flipping,0
MOBILE,NBC,Frame-Up,0
MOBILE,NBC,g.i. joe: retaliation,0
MOBILE,NBC,Game of Silence,190086
MOBILE,NBC,George to the Rescue,0
MOBILE,NBC,Going Roggin,0
MOBILE,NBC,Gridiron Soldier,0
MOBILE,NBC,Grimm,202394
MOBILE,NBC,Growing Up Fisher,3153
MOBILE,NBC,Guys With Kids,6021
MOBILE,NBC,Gymnastics,0
MOBILE,NBC,Head Case,0
MOBILE,NBC,Heartbeat,218171
MOBILE,NBC,Hell,0
MOBILE,NBC,Heroes Reborn,26100
MOBILE,NBC,Heroes Reborn - Dark Matters,0
MOBILE,NBC,Hollywood Game Night,6710
MOBILE,NBC,House,21
MOBILE,NBC,HouseSmarts,0
MOBILE,NBC,How To Look Sexy At 50!,0
MOBILE,NBC,Hunters,0
MOBILE,NBC,Huskies Make History Parade,0
MOBILE,NBC,identity theft: learn about it and how to get lifelock protection,0
MOBILE,NBC,Imprisoned Lives,0
MOBILE,NBC,In Depth With Graham Bensinger,0
MOBILE,NBC,In Touch with Dr. Charles Stanley,0
MOBILE,NBC,Inside the Redskins: Free Agency and the Draft,0
MOBILE,NBC,It's Academic,0
MOBILE,NBC,Jane Seymour's Secret to Youthful-looking skin,0
MOBILE,NBC,Jay Leno's Garage,0
MOBILE,NBC,Jeopardy!,0
MOBILE,NBC,Jerome's Furniture SportsWrap,0
MOBILE,NBC,Joel Osteen,0
MOBILE,NBC,Kings,2745
MOBILE,NBC,KLG and Hoda,1176
MOBILE,NBC,knbc x,0
MOBILE,NBC,Knight Rider,7480
MOBILE,NBC,Knight Rider Classic,6291
MOBILE,NBC,knsd x,0
MOBILE,NBC,KNTVX,0
MOBILE,NBC,kxas x,0
MOBILE,NBC,Larry King Special Report,0
MOBILE,NBC,larry king special report update,0
MOBILE,NBC,Last Call With Carson Daly,0
MOBILE,NBC,Late Night with Seth Meyers,23253
MOBILE,NBC,Law & Order: Special Victims Unit,135633
MOBILE,NBC,Lead,0
MOBILE,NBC,Legacy,0
MOBILE,NBC,Life,3467
MOBILE,NBC,Light Sleeper,0
MOBILE,NBC,Lipstick Jungle,3619
MOBILE,NBC,Little Big Shots,232232
MOBILE,NBC,Lone Star Politics,0
MOBILE,NBC,Louder Than a Bomb,0
MOBILE,NBC,Luminess: The Future of Makeup,0
MOBILE,NBC,Lunacy,0
MOBILE,NBC,mad money,0
MOBILE,NBC,Make $$ in Real Estate Locally,0
MOBILE,NBC,Meet the Press,29055
MOBILE,NBC,Miami Vice,7880
MOBILE,NBC,MLB Baseball,0
MOBILE,NBC,MLB Spring Training Baseball,0
MOBILE,NBC,Model Behavior,0
MOBILE,NBC,modern family,0
MOBILE,NBC,Motive,77
MOBILE,NBC,MOVIES ON USA,8
MOBILE,NBC,MR. ROBOT,23
MOBILE,NBC,NASCAR XFINITY Series,0
MOBILE,NBC,NBC 10: Eagles Draft Day,0
MOBILE,NBC,NBC 10:The Democratic Debate for PA Attorney,0
MOBILE,NBC,NBC 5 First at Four,0
MOBILE,NBC,NBC 5 News,0
MOBILE,NBC,NBC 5 News @10:30PM Sunday,0
MOBILE,NBC,NBC 5 News at 10,0
MOBILE,NBC,NBC 5 News at 10am,0
MOBILE,NBC,NBC 5 News at 11AM,0
MOBILE,NBC,NBC 5 News at 4,0
MOBILE,NBC,nbc 5 news at 4:30,0
MOBILE,NBC,NBC 5 News at 4:30AM,0
MOBILE,NBC,NBC 5 News at 5,0
MOBILE,NBC,NBC 5 News at 5:30AM,0
MOBILE,NBC,NBC 5 News at 5AM,0
MOBILE,NBC,NBC 5 News at 6,0
MOBILE,NBC,NBC 5 News at 6.30pm,0
MOBILE,NBC,NBC 5 News at 6AM,0
MOBILE,NBC,NBC 5 News at 8AM,0
MOBILE,NBC,NBC 5 News at 9AM,0
MOBILE,NBC,NBC 5 Saturday at 6AM,0
MOBILE,NBC,NBC 5 Saturday at 9AM,0
MOBILE,NBC,NBC 5 Sunday at 6AM,0
MOBILE,NBC,NBC 5 Sunday at 8AM,0
MOBILE,NBC,nbc 5 today at 11,0
MOBILE,NBC,NBC 5 Today at 4:30am,0
MOBILE,NBC,NBC 5 Today at 5,0
MOBILE,NBC,NBC 5 Today at 5:30,0
MOBILE,NBC,NBC 5 Today at 6,0
MOBILE,NBC,NBC 5 Weekend Report,0
MOBILE,NBC,NBC 6 Impact with Jackie Nespral,0
MOBILE,NBC,NBC 6 South Florida News at 11pm,0
MOBILE,NBC,NBC 6 South Florida News at 5:30pm,0
MOBILE,NBC,NBC 6 South Florida News at 5pm,0
MOBILE,NBC,NBC 6 South Florida News at 6pm,0
MOBILE,NBC,NBC 6 South Florida News Sunday 9AM,0
MOBILE,NBC,NBC 6 South Florida Today at 11am,0
MOBILE,NBC,NBC 6 South Florida Today at 4:30am,0
MOBILE,NBC,NBC 6 South Florida Today at 5:30am,0
MOBILE,NBC,NBC 6 South Florida Today at 5am,0
MOBILE,NBC,NBC 6 South Florida Today at 6am,0
MOBILE,NBC,NBC 6 South Florida Today Saturday at 6am,0
MOBILE,NBC,NBC 6 South Florida Today Saturday at 8.30am,0
MOBILE,NBC,NBC 6 South Florida Today Saturday at 9am,0
MOBILE,NBC,NBC 6 South Florida Today Sunday at 7am,0
MOBILE,NBC,NBC 7 News at 11,0
MOBILE,NBC,NBC 7 News at 4,0
MOBILE,NBC,NBC 7 News at 5,0
MOBILE,NBC,NBC 7 News at 6,0
MOBILE,NBC,NBC 7 News Midday,0
MOBILE,NBC,NBC 7 News Today,0
MOBILE,NBC,NBC Bay Area News,0
MOBILE,NBC,nbc bay area news at 11,0
MOBILE,NBC,NBC Bay Area News at 11AM,0
MOBILE,NBC,NBC Bay Area News at 4:30,0
MOBILE,NBC,NBC Bay Area News at 5,0
MOBILE,NBC,NBC Bay Area News at 5:30,0
MOBILE,NBC,NBC Bay Area News at 6,0
MOBILE,NBC,NBC Bay Area News Special,0
MOBILE,NBC,NBC Bay Area: We Investigate,0
MOBILE,NBC,NBC CT News 5:30pm,0
MOBILE,NBC,NBC CT News at 11pm,0
MOBILE,NBC,NBC CT News at 5pm,0
MOBILE,NBC,NBC CT News at 6pm,0
MOBILE,NBC,NBC CT News Today,0
MOBILE,NBC,NBC CT News Today at 11am,0
MOBILE,NBC,NBC CT News Today at 5:30am,0
MOBILE,NBC,NBC CT News Today at 5am,0
MOBILE,NBC,NBC CT News Today at 6:30am,0
MOBILE,NBC,NBC CT News Today at 6am,0
MOBILE,NBC,NBC CT News Today Saturday,0
MOBILE,NBC,NBC CT News Today Sunday,0
MOBILE,NBC,NBC Nightly News,18244
MOBILE,NBC,NBC Nightly News With Lester Holt,0
MOBILE,NBC,NBC10 @ Issue,0
MOBILE,NBC,NBC10 News at 11pm,0
MOBILE,NBC,NBC10 News at 4pm,0
MOBILE,NBC,NBC10 News at 5pm,0
MOBILE,NBC,NBC10 News at 6pm,0
MOBILE,NBC,NBC10 News Today 11am,0
MOBILE,NBC,NBC10 News Today at 4:30am,0
MOBILE,NBC,NBC10 News Today at 5:30am,0
MOBILE,NBC,NBC10 News Today at 5am,0
MOBILE,NBC,NBC10 News Today at 6am,0
MOBILE,NBC,NBC10 News Today Weekend at 10am,0
MOBILE,NBC,nbc10 news today weekend at 5:30am,0
MOBILE,NBC,NBC10 News Today Weekend at 5am,0
MOBILE,NBC,nbc10 news today weekend at 6am,0
MOBILE,NBC,NBC10 News Today Weekend at 7am,0
MOBILE,NBC,NBC10 News Today Weekend at 9am,0
MOBILE,NBC,"NBC10: Ready, Set, Run",0
MOBILE,NBC,NBC10: Rio 100,0
MOBILE,NBC,NBC10: Villanova: March to Victory,0
MOBILE,NBC,NBC4 News,0
MOBILE,NBC,NBC4 News at 11 pm,0
MOBILE,NBC,NBC4 News at 5 pm,0
MOBILE,NBC,NBC4 News at 6 pm,0
MOBILE,NBC,NBC4 News at Noon,0
MOBILE,NBC,NBC4 News Conference,0
MOBILE,NBC,NBC4 Presents The Washington Informer Spelling Bee,0
MOBILE,NBC,NBC4 Today in LA,0
MOBILE,NBC,NBC4 Today in LA Weekend,0
MOBILE,NBC,NBC4: Caps Quest for the Cup,0
MOBILE,NBC,NBC5 News at 6:30,0
MOBILE,NBC,NCIS,5
MOBILE,NBC,NCIS: LOS ANGELES,11
MOBILE,NBC,never fear power outages,0
MOBILE,NBC,New York Live,0
MOBILE,NBC,new! get cindy crawford's anti-aging discovery,0
MOBILE,NBC,News 4 New York,0
MOBILE,NBC,News 4 New York at 11,0
MOBILE,NBC,News 4 New York at 5,0
MOBILE,NBC,News 4 New York at 5:30,0
MOBILE,NBC,News 4 New York at 6,0
MOBILE,NBC,News 4 New York at Noon,0
MOBILE,NBC,News4 at 11,0
MOBILE,NBC,News4 at 4,0
MOBILE,NBC,News4 at 5,0
MOBILE,NBC,News4 at 6,0
MOBILE,NBC,News4 Midday,0
MOBILE,NBC,News4 New York: Ask the Mayor,0
MOBILE,NBC,News4 This Week,0
MOBILE,NBC,News4 Today,0
MOBILE,NBC,News4 Today at 4:30,0
MOBILE,NBC,News4 Today at 5,0
MOBILE,NBC,News4 Today at 6,0
MOBILE,NBC,NHL Hockey,0
MOBILE,NBC,NHL Live,0
MOBILE,NBC,Nina's World,0
MOBILE,NBC,No more wrinkles! Say ByeBye now and look younger!,0
MOBILE,NBC,no title,104
MOBILE,NBC,noodle and doodle,0
MOBILE,NBC,on the money,0
MOBILE,NBC,Open House,0
MOBILE,NBC,open house nyc,0
MOBILE,NBC,OpenRoad,0
MOBILE,NBC,Operation Smile,0
MOBILE,NBC,Our World With Black Enterprise,0
MOBILE,NBC,Outsourced,3473
MOBILE,NBC,paid programming,0
MOBILE,NBC,Paranoia,0
MOBILE,NBC,Paranormal Witness,2
MOBILE,NBC,parks and recreation,0
MOBILE,NBC,Persona,0
MOBILE,NBC,PGA Tour Golf,0
MOBILE,NBC,"phil collins, rod stewart, celine dion, lionel richie",0
MOBILE,NBC,Playing House,23
MOBILE,NBC,Polaryte HD Sunglasses,0
MOBILE,NBC,Politically Speaking,0
MOBILE,NBC,Post-Mortem Blues,0
MOBILE,NBC,premier boxing champions on nbc,0
MOBILE,NBC,Premier League Goal Zone,0
MOBILE,NBC,Press: Here,0
MOBILE,NBC,Presumed Guilty,0
MOBILE,NBC,Probie,0
MOBILE,NBC,Psycho/Therapist,0
MOBILE,NBC,PTSD,0
MOBILE,NBC,Quantum Leap,6514
MOBILE,NBC,Quest for the Cup,0
MOBILE,NBC,Rapist Anonymous,0
MOBILE,NBC,Ravenous,0
MOBILE,NBC,Raw Travel,0
MOBILE,NBC,Retro,0
MOBILE,NBC,Royal Pains,6
MOBILE,NBC,"ruff-ruff, tweet and dave",0
MOBILE,NBC,satisfaction,34
MOBILE,NBC,Saturday Night Live,169374
MOBILE,NBC,Saturday Today in New York,0
MOBILE,NBC,Secrets Exhumed,0
MOBILE,NBC,Selfish,0
MOBILE,NBC,Shades of Blue,190773
MOBILE,NBC,Shades of Blue en Espanol,4403
MOBILE,NBC,Slaves,0
MOBILE,NBC,Smile USA,0
MOBILE,NBC,Smut,0
MOBILE,NBC,Snatched,0
MOBILE,NBC,Sofia's Coffee Bar,0
MOBILE,NBC,SoundDiego,0
MOBILE,NBC,Sports Final,0
MOBILE,NBC,Sports Sunday,0
MOBILE,NBC,Spot Free Skin,0
MOBILE,NBC,stanley cup playoff,0
MOBILE,NBC,Star of A&E's Hit Reality Show,0
MOBILE,NBC,Starship Troopers 2: Hero of the Federation,0
MOBILE,NBC,Steve Harvey,0
MOBILE,NBC,Strong,72507
MOBILE,NBC,Sugar,0
MOBILE,NBC,SUITS,9
MOBILE,NBC,Sunday Sports Final,0
MOBILE,NBC,Sunday Sports Replay,0
MOBILE,NBC,Sunday Today in New York,0
MOBILE,NBC,Superstore,38996
MOBILE,NBC,tai chi master!,0
MOBILE,NBC,Talk Stoop,0
MOBILE,NBC,Telenovela,17596
MOBILE,NBC,Telenovela en Espanol,1638
MOBILE,NBC,The Biggest Loser,0
MOBILE,NBC,The Black Donnellys,1432
MOBILE,NBC,The Blacklist,617468
MOBILE,NBC,The Cape,2469
MOBILE,NBC,The Carmichael Show,71310
