Platform,Network,Program,FEP Starts
Chromecast,NBC,wnbcx,0
Chromecast,NBC,wrcx,0
Chromecast,NBC,WSAZX,0
Chromecast,NBC,wtvj x,0
Chromecast,NBC,wvit x,0
Chromecast,NBC,"You, Me and the Apocalypse",1782
MOBILE,,,0
MOBILE,,The Real Housewives of Potomac,0
MOBILE,awe,,0
MOBILE,awe,11 Chrisley Knows Best Chrisley Knows Best Chrisley Knows Best Chrisley Knows Best Chrisley Knows Best Chrisley Knows Best Chrisley Knows Best Chrisley Knows Best Chrisley Knows Best Chrisley Knows Best Chrisley Knows Best Chrisley Knows Best Chrisley Kno,49
MOBILE,awe,12 Monkeys,0
MOBILE,awe,ALL'S FAIR IN LOVE AND ADVERTISING,0
MOBILE,awe,Beachfront Bargain Hunt,0
MOBILE,awe,Bitten,2
MOBILE,awe,Burn Notice,0
MOBILE,awe,Childhoods End,0
MOBILE,awe,CHRISLEY KNOWS BEST,27
MOBILE,awe,Chrisley Knows Best Test Test  Test Test  Test Test  Test Test  Test Test  Test Test  Test Test  Test Test Test Test  Test Test  Test Test  Test Test  Test Test  Test Test  Test Test  Test Test  Test Test  Test Test  Test Test  Test Test  Test Test  Test,0
MOBILE,awe,Colony,30
MOBILE,awe,Colony Test Test  Test Test  Test Test  Test Test  Test Test  Test Test  Test Test  Test Test  Test Test  Test Test  Test Test  Test Test  Test Test  Test Test  Test Test  Test Test  Test Test  Test Test  Test Test  Test Test  Test Test  Test Test  Test T,2
MOBILE,awe,Colony1,27
MOBILE,awe,CSI,2
MOBILE,awe,Dark Matter,0
MOBILE,awe,Defiance,0
MOBILE,awe,Donny!,5
MOBILE,awe,Face Off,0
MOBILE,awe,Face Off Face Off Face Off Face Off Face Off Face Off Face Off Face Off Face Off Face Off Face Off Face Off Face Off Face Off Face Off Face Off Face Off Face Off Face Off,0
MOBILE,awe,Face Off ReallyLongShowTitleGoesHere,0
MOBILE,awe,Face Off ReallyLongTitleGoesHere,0
MOBILE,awe,Face Off Show ReallyLongShowTitleGoesHere,0
MOBILE,awe,Face Off Show Title ReallyLongShowTitleGoesHere,0
MOBILE,awe,First Impressions with Dana Carvey,0
MOBILE,awe,Good Witch,0
MOBILE,awe,"GOOD WITCH'S GARDEN, THE",2
MOBILE,awe,Home & Family,6
MOBILE,awe,House,0
MOBILE,awe,House HouseHouseHouseHouseHouseHouseHouseHouseHouseHouseHouseHouseHouseHouseHouseHouseHouseHouseHouseHouseHouseHouseHouseHouseHouseHouseHouseHouseHouseHouseHouse,0
MOBILE,awe,Lavalantula,0
MOBILE,awe,MAIL ORDER BRIDE,0
MOBILE,awe,MEDDLING MOM,1
MOBILE,awe,Motive,0
MOBILE,awe,MOVIES ON USA,0
MOBILE,awe,MR. HOCKEY: THE GORDIE HOWE STORY,0
MOBILE,awe,MR. ROBOT,0
MOBILE,awe,Mr. Robot1,14
MOBILE,awe,NCIS,0
MOBILE,awe,NCIS: LOS ANGELES,0
MOBILE,awe,NEARLYWEDS,1
MOBILE,awe,Paranormal Witness,3
MOBILE,awe,Playing House,2
MOBILE,awe,Property Brothers,0
MOBILE,awe,satisfaction,0
MOBILE,awe,SUITS,1
MOBILE,awe,Syfy Movies,0
MOBILE,awe,The Expanse,0
MOBILE,awe,The Jennie Garth Project,0
MOBILE,awe,The Magicians en EspaÌ±ol,0
MOBILE,awe,When Calls the Heart,0
MOBILE,awe,WHITE COLLAR,0
MOBILE,bravo,,0
MOBILE,bravo,#newcraig,0
MOBILE,bravo,100 days of summer,0
MOBILE,bravo,5 makeup tips 4 older women!,0
MOBILE,bravo,50 shades of greystone,0
MOBILE,bravo,abandon,0
MOBILE,bravo,all about the benjamins,0
MOBILE,bravo,an intimates affair,0
MOBILE,bravo,Apres Ski,0
MOBILE,bravo,back pain solved!,0
MOBILE,bravo,"bbq, brunch or bust",0
MOBILE,bravo,Below Deck,2723
MOBILE,bravo,Below Deck Mediterranean,10951
MOBILE,bravo,Best New Restaurant,3
MOBILE,bravo,Best Pan Ever!,0
MOBILE,bravo,best portable charger!,0
MOBILE,bravo,big momma's house,0
MOBILE,bravo,big momma's house 2,0
MOBILE,bravo,bleecker and bleaker,0
MOBILE,bravo,blood sweat and heels,0
MOBILE,bravo,body beast!,0
MOBILE,bravo,bravo live,0
MOBILE,bravo,c'est la vida,0
MOBILE,bravo,charlie's angels,0
MOBILE,bravo,cize dance workout!,0
MOBILE,bravo,clean up this fall with shark lift away. 3 vacuums in one. breakthrough vacuum design!,0
MOBILE,bravo,courtney loves dallas,0
MOBILE,bravo,Dodgeball: A True Underdog Story,0
MOBILE,bravo,Dont Be Tardy,0
MOBILE,bravo,election day,0
MOBILE,bravo,enchanted,0
MOBILE,bravo,euros of hollywood,0
MOBILE,bravo,everything's bigger in dallas,0
MOBILE,bravo,extreme guide to parenting,0
MOBILE,bravo,fashion queens,0
MOBILE,bravo,fever pitch,0
MOBILE,bravo,flipping out,0
MOBILE,bravo,friday,0
MOBILE,bravo,Friday Night Tykes: Steel Country,0
MOBILE,bravo,g.i. jane,0
MOBILE,bravo,game of crowns,0
MOBILE,bravo,Girlfriends Guide to Divorce,0
MOBILE,bravo,Going Off the Menu,73
MOBILE,bravo,good hair,0
MOBILE,bravo,hard knock life,0
MOBILE,bravo,identity theft: learn about it and how to get lifelock protection,0
MOBILE,bravo,inside the actors studio,0
MOBILE,bravo,jersey belle,0
MOBILE,bravo,Ladies of London,0
MOBILE,bravo,living with funny,0
MOBILE,bravo,look good naked,0
MOBILE,bravo,manzo'd with children,0
MOBILE,bravo,Manzod With Children,0
MOBILE,bravo,Married to Medicine,0
MOBILE,bravo,Million Dollar Listing Los Angeles,0
MOBILE,bravo,Million Dollar Listing New York,14932
MOBILE,bravo,Million Dollar Listing San Francisco,0
MOBILE,bravo,miss congeniality,0
MOBILE,bravo,miss domesticated,0
MOBILE,bravo,Mother Funders,0
MOBILE,bravo,mr. deeds,0
MOBILE,bravo,My Fab 40th,0
MOBILE,bravo,"new beginnings, my ass",0
MOBILE,bravo,Newlyweds The First Year,0
MOBILE,bravo,newlyweds: the first year,34
MOBILE,bravo,"ninja coffee bar with sofia vergara - classic brew, rich brew, over ice brew, specialty & frozen blended brew",0
MOBILE,bravo,no title,78
